MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
28400,0.11336731000847067,7.671077874709226,5.301842553348706,4.905530887907389,
28500,0.11615338273986708,7.6690278134597065,5.300524913281151,4.906475136784138,
28600,0.10954723090253538,7.670417259525493,5.299544761405286,4.9029494622709535,
28700,0.11714430551546684,7.666539735620972,5.302287750537744,4.9025437583809435,
28800,0.114264884986369,7.669408385250335,5.30115321576568,4.908848325025701,
28900,0.11053456337822354,7.668665193168636,5.303318166612371,4.787553632812433,
29000,0.11291134191969832,7.667160857505678,5.29953040020564,4.960265010059629,
29100,0.11355400560387352,7.670700893218509,5.302833476124306,5.039032599820075,
29200,0.12099310702069488,7.667203941104617,5.3022626184383626,5.113843679077945,
29300,0.12260156138108869,7.664877426761905,5.3022805699379205,5.181693166807236,
29400,0.10984163549528603,7.667379865800285,5.300234098988312,5.211399308275759,
29500,0.10710223666274032,7.671458446499855,5.298614873728184,5.2270458352904825,
29600,0.11135315175806682,7.66779634059003,5.303612571205122,5.27458499641989,
29700,0.10925282630978472,7.670302369928322,5.301038326168509,5.314171643245118,
29800,0.12308625186915378,7.669368891951308,5.302524710331909,5.389377655493263,
29900,0.11314830171386348,7.666403304224332,5.2989523619198735,5.484111308960564,
30000,0.11193478034374493,7.671232257605425,5.297864501046661,5.5130563068478295,
30100,0.11804906109318836,7.666629493118762,5.2982199407379085,5.534178041227733,
30200,0.11450902538035734,7.668094335482692,5.305648271254995,5.58419450929614,
30300,0.10769822644806482,7.67032032142788,5.299706324901308,5.6403611611131055,
30400,0.11575126914976863,7.666406894524243,5.301892817547468,5.652959523502886,
30500,0.11537428765905133,7.66736909490055,5.299275488911917,5.728179896950678,
30600,0.11841527168417088,7.666600770719469,5.301885636947645,5.811026067410694,
30700,0.11841886198408247,7.66736909490055,5.299828395098302,5.854493828440354,
30800,0.1250680974203533,7.667286518002584,5.305152809867195,5.927962135531288,
30900,0.11550712875578029,7.667422949399224,5.297598818853203,5.959111577564272,
31000,0.10993857359289905,7.668909333562624,5.3014332591587845,6.030666254802327,
31100,0.11303341211669249,7.6689308753620935,5.298474852031632,6.109024550372851,
31200,0.11558252505392375,7.665652931542809,5.303178144915819,6.248873912529234,
31300,0.10759410775062861,7.665875530137328,5.2984317684326925,6.318511369614498,
31400,0.10928154870907747,7.669110390357673,5.302826295524483,6.312066781273188,
31500,0.10775208094673872,7.670898359713647,5.298112231740561,6.321186143048635,
31600,0.10095923351400415,7.669889485438489,5.3005500453805325,6.333741421839477,
31700,0.12422796724104046,7.669537636047153,5.303325347212194,6.339288435202889,
31800,0.11877430167533021,7.668776492465895,5.3019897556450815,6.3372240127537225,
31900,0.1062585161835159,7.668227176579421,5.301767157050563,6.33683626036327,
32000,0.10116388060896497,7.670130035532566,5.29970991520122,6.3315297970939355,
32100,0.11040172228149459,7.66536211724997,5.301095770967095,6.336922427561149,
32200,0.10762642044983295,7.668927285062182,5.300758282775405,6.330226518226027,
32300,0.10338268595432965,7.665006677558722,5.298000932443301,6.337522007646385,
32400,0.10399303693930051,7.668216405679686,5.298571790129245,6.337073220157436,
32500,0.11693247782068283,7.669720741342644,5.301637906253745,6.332520719869535,
32600,0.1206592091289167,7.670169528831593,5.298593331928714,6.337701522641964,
32700,0.11446235148150663,7.669857172739285,5.302244666938805,6.333174154453445,
32800,0.10904458891491231,7.670467523724255,5.300219737788666,6.337475333747534,
32900,0.1112526233605422,7.670165938531682,5.299401149408823,6.332567393768386,
33000,0.10849886332835013,7.667394226999932,5.298600512528537,6.342128362432959,
33100,0.12100028762051807,7.668600567770227,5.300191015389373,6.3415216017479,
33200,0.12201275219558738,7.667979445885521,5.298083509341268,6.331655457590841,
33300,0.11410691179025889,7.665426742648378,5.298521525930482,6.338577555820393,
33400,0.10574510329615805,7.666956210410717,5.299368836709618,6.337525597946296,
33500,0.10949337640386148,7.670553690922134,5.301950262346054,6.330768653512678,
33600,0.1042120452339077,7.6689308753620935,5.299447823307673,6.335019568608004,
33700,0.11314471141395188,7.671731309293136,5.301347091960906,6.335863289087229,
33800,0.10970879439855707,7.673102803859365,5.302646780528903,6.337457382247976,
33900,0.10648829537785787,7.672158554982616,5.298772846924294,6.335041110407474,
34000,0.11997346184580238,7.666740792416022,5.299900201096534,6.338293922127377,
34100,0.11183784224613191,7.66536211724997,5.298094280241003,6.3338599017365596,
34200,0.10798904074090387,7.665940155535736,5.300040222793086,6.333368030648671,
34300,0.11113414346345962,7.668255898978714,5.297792695048429,6.333023361857158,
34400,0.11594155504508308,7.669695609243263,5.298776437224205,6.336642384168044,
